"Name","Party","Distid","NRA.Direct.Support","NRA.Independent.Support","NRA.Independent.Opposition","NRA.Indep.Expend.for.Opponent","NRA.Indep.Expend.against.opponent","NRA.Grand.Total","Rank","chamber","state","NRA.Grand.Total.Supporting","NRA.Grand.Total.Opposing","2017 Death Rate (per 100k people)","2017 Total Deaths","2016 Death Rate","2016 Total Deaths"
"GRAVES, TOM","R","GA14",15650,127,"$0",0,0,15777,146,"House","Georgia",2144458,-1635,15.4,1623,15,1571
"GRIFFITH, MORGAN","R","VA09",13650,702,"$0",0,702,15054,147,"House","Virginia",115492,-1290875,11.9,1041,12.1,1049
"HOLLINGSWORTH, JOSEPH","R","IN09",5000,10014,"$0",0,0,15014,148,"House","Indiana",4245190,-864,15.3,1016,15,997
"LONG, BILLY","R","MO07",12500,2363,"$0",0,0,14863,149,"House","Missouri",6143256,-933,21.5,1307,19,1144
"DUNCAN, JEFF","R","SC03",14500,153,"$0",0,0,14653,150,"House","South Carolina",135064,-15497,17.7,893,17.7,891
"THOMPSON, GLENN","R","PA15",12500,1747,"$0",0,0,14247,151,"House","Pennsylvania",1799798,-386266,12.5,1636,12,1555
"FLEISCHMANN, CHUCK","R","TN03",10000,3842,"$0",0,0,13842,152,"House","Tennessee",1372506,0,18.4,1246,17.1,1148
"HUIZENGA, BILL","R","MI02",13650,152,"$0",0,0,13802,153,"House","Michigan",186994,-984050,11.3,1138,12.3,1230
"GOHMERT, LOUIE","R","TX01",13450,0,"$0",64,0,13386,154,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"CRAMER, KEVIN","R","NDS2",10211,1522,"$0",0,1522,13255,155,"Senate","North Dakota",39827,0,13.2,103,11.9,90
"COMER, JAMES","R","KY01",6950,6242,"$0",0,0,13192,156,"House","Kentucky",1504727,-4018,16.2,730,17.5,772
"UPTON, FREDERICK","R","MI06",9000,3601,"$0",0,495,13096,157,"House","Michigan",186994,-984050,11.3,1138,12.3,1230
"ROBY, MARTHA","R","AL02",10000,3019,"$0",0,0,13019,158,"House","Alabama",399197,-74830,22.9,1124,21.5,1046
"STEIL, BRYAN","R","WI01",0,7296,"$0",0,5639,12935,159,"House","Wisconsin",1385505,-771863,10.6,624,11.4,664
"MOOLENAAR, JOHN","R","MI04",7000,5758,"$0",0,0,12758,160,"House","Michigan",186994,-984050,11.3,1138,12.3,1230
"NORMAN, RALPH","R","SC05",8950,3217,"$0",0,0,12167,161,"House","South Carolina",135064,-15497,17.7,893,17.7,891
"LAMALFA, DOUG","R","CA01",8000,3590,"$0",0,0,11590,162,"House","California",214295,-285808,7.9,3184,7.9,3184
"WAGNER, ANN","R","MO02",8150,3370,"$0",0,0,11520,163,"House","Missouri",6143256,-933,21.5,1307,19,1144
"WESTERMAN, BRUCE","R","AR04",5000,6504,"$0",0,0,11504,164,"House","Arkansas",3182795,0,20.3,613,17.8,541
"WOMACK, STEVE","R","AR03",11500,0,"$0",0,0,11500,165,"House","Arkansas",3182795,0,20.3,613,17.8,541
"SMITH, JASON","R","MO08",8500,2789,"$0",0,0,11289,166,"House","Missouri",6143256,-933,21.5,1307,19,1144
"BANKS, JAMES","R","IN03",4000,7065,"$0",0,0,11065,167,"House","Indiana",4245190,-864,15.3,1016,15,997
"CRAWFORD, RICK","R","AR01",9000,1977,"$0",0,0,10977,168,"House","Arkansas",3182795,0,20.3,613,17.8,541
"BABIN, BRIAN","R","TX36",9500,1334,"$0",0,0,10834,169,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"GUTHRIE, BRETT","R","KY02",10500,0,"$0",0,0,10500,170,"House","Kentucky",1504727,-4018,16.2,730,17.5,772
"PENCE, GREGORY","R","IN06",2500,7974,"$0",0,0,10474,171,"House","Indiana",4245190,-864,15.3,1016,15,997
"WILLIAMS, ROGER","R","TX25",9000,1335,"$0",0,0,10335,172,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"KIND, RON","D","WI03",7950,3074,"$0",742,0,10282,173,"House","Wisconsin",1385505,-771863,10.6,624,11.4,664
"CRIST, CHARLIE","D","FL13",10150,0,"$0",0,0,10150,174,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"WENSTRUP, BRAD","R","OH02",9000,1039,"$0",0,0,10039,175,"House","Ohio",3569434,-1156830,13.7,1589,12.9,1524
"STEWART, CHRIS","R","UT02",10000,0,"$0",0,0,10000,176,"House","Utah",13691980,-10956,14,410,12.9,370
"BAIRD, JAMES","R","IN04",2000,7977,"$0",0,0,9977,177,"House","Indiana",4245190,-864,15.3,1016,15,997
"SCHRADER, KURT","D","OR05",5000,4887,"$0",0,0,9887,178,"House","Oregon",59633,-112595,12.1,528,11.9,513
"BISHOP, DAN","R","NC09",5950,3476,"$0",0,0,9426,179,"House","North Carolina",11789724,-898,13.7,1430,13.7,1409
"BYRNE, BRADLEY","R","AL01",6000,3380,"$0",0,0,9380,180,"House","Alabama",399197,-74830,22.9,1124,21.5,1046
"JOHNSON, MIKE","R","LA04",4000,5223,"$0",0,0,9223,181,"House","Louisiana",3142993,-12536,21.7,1008,21.3,987
"PALAZZO, STEVEN","R","MS04",10250,2153,"$0",3201,0,9202,182,"House","Mississippi",228109,-640,21.5,632,19.9,587
"STEFANIK, ELISE","R","NY21",7000,2179,"$0",0,0,9179,183,"House","New York",167473,-145700,3.7,772,4.4,900
"RICE, TOM","R","SC07",9000,139,"$0",0,0,9139,184,"House","South Carolina",135064,-15497,17.7,893,17.7,891
"MILLER, CAROL","R","WV03",3000,6129,"$0",0,0,9129,185,"House","West Virginia",388360,-459700,18.6,348,17.5,332
"COOK, PAUL","R","CA08",9000,0,"$0",0,0,9000,186,"House","California",214295,-285808,7.9,3184,7.9,3184
"LESKO, DEBBIE","R","AZ08",4000,4505,"$0",0,0,8505,187,"House","Arizona",425062,-319855,15.8,1134,15.2,1094
"GOODEN, LANCE","R","TX05",4000,4504,"$0",0,0,8504,188,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"ESTES, RON","R","KS04",4250,4147,"$0",0,0,8397,189,"House","Kansas",1712474,-13388,16,466,13.4,383
"LEE, MIKE","R","UTS2",5000,3291,"$0",0,0,8291,190,"Senate","Utah",13691980,-10956,14,410,12.9,370
"LOUDERMILK, BARRY","R","GA11",8000,137,"$0",0,0,8137,191,"House","Georgia",2144458,-1635,15.4,1623,15,1571
"KUSTOFF, DAVID","R","TN08",6000,2097,"$0",0,0,8097,192,"House","Tennessee",1372506,0,18.4,1246,17.1,1148
"SCOTT, AUSTIN","R","GA08",8500,150,"$0",632,0,8018,193,"House","Georgia",2144458,-1635,15.4,1623,15,1571
"HARTZLER, VICKY","R","MO04",11500,4648,"$0",8795,596,7949,194,"House","Missouri",6143256,-933,21.5,1307,19,1144
"GRAVES, GARRET","R","LA06",5000,2900,"$0",0,0,7900,195,"House","Louisiana",3142993,-12536,21.7,1008,21.3,987
"BIGGS, ANDREW","R","AZ05",4000,3674,"$0",0,0,7674,196,"House","Arizona",425062,-319855,15.8,1134,15.2,1094
"BERGMAN, JOHN","R","MI01",7450,221,"$0",0,0,7671,197,"House","Michigan",186994,-984050,11.3,1138,12.3,1230
"DESJARLAIS, SCOTT","R","TN04",10000,4067,"$0",6538,0,7529,198,"House","Tennessee",1372506,0,18.4,1246,17.1,1148
"EMMER, THOMAS","R","MN06",6000,1370,"$0",0,0,7370,199,"House","Minnesota",286298,-191892,8.2,465,7.6,432
"BROOKS, MO","R","AL05",7000,194,"$0",0,0,7194,200,"House","Alabama",399197,-74830,22.9,1124,21.5,1046
"PALMER, GARY","R","AL06",7000,169,"$0",0,0,7169,201,"House","Alabama",399197,-74830,22.9,1124,21.5,1046
"FERGUSON, DREW","R","GA03",7000,151,"$0",0,0,7151,202,"House","Georgia",2144458,-1635,15.4,1623,15,1571
"LEAHY, PATRICK","D","VTS2",7000,0,"$0",0,0,7000,203,"Senate","Vermont",8476,0,11.7,70,11.1,78
"DUNN, NEAL","R","FL02",4750,1876,"$0",0,0,6626,204,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"GIBBS, BOB","R","OH07",11500,2225,"$0",7244,0,6481,205,"House","Ohio",3569434,-1156830,13.7,1589,12.9,1524
"CARTER, BUDDY","R","GA01",6000,471,"$0",0,0,6471,206,"House","Georgia",2144458,-1635,15.4,1623,15,1571
"HICE, JODY","R","GA10",6000,170,"$0",0,0,6170,207,"House","Georgia",2144458,-1635,15.4,1623,15,1571
"MEADOWS, MARK","R","NC11",6150,0,"$0",0,0,6150,208,"House","North Carolina",11789724,-898,13.7,1430,13.7,1409
"NEWHOUSE, DANIEL","R","WA04",6000,0,"$0",0,0,6000,209,"House","Washington",152540,-1001968,11.1,849,9,686
"RATCLIFFE, JOHN","R","TX04",4500,1476,"$0",0,0,5976,210,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"HASTINGS, ALCEE","D","FL20",5950,0,"$0",0,0,5950,211,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"CHENEY, LIZ","R","WY01",5950,0,"$0",0,0,5950,211,"House","Wyoming",57661,0,18.8,113,17.4,101
"MITCHELL, PAUL","R","MI10",5500,183,"$0",0,0,5683,213,"House","Michigan",186994,-984050,11.3,1138,12.3,1230
"MARSHALL, ROGER","R","KS01",4500,1094,"$0",0,0,5594,214,"House","Kansas",1712474,-13388,16,466,13.4,383
"ARRINGTON, JODEY","R","TX19",4500,1060,"$0",0,0,5560,215,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"ROUZER, DAVID","R","NC07",5000,427,"$0",0,0,5427,216,"House","North Carolina",11789724,-898,13.7,1430,13.7,1409
"YOHO, TED","R","FL03",5000,270,"$0",0,92,5362,217,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"WEBER, RANDY","R","TX14",4000,1270,"$0",0,0,5270,218,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"WALKER, BRADLEY","R","NC06",5000,0,"$0",0,0,5000,219,"House","North Carolina",11789724,-898,13.7,1430,13.7,1409
"CURTIS, JOHN","R","UT03",5000,0,"$0",0,0,5000,219,"House","Utah",13691980,-10956,14,410,12.9,370
"CLINE, BENJAMIN","R","VA06",5000,0,"$0",0,0,5000,219,"House","Virginia",115492,-1290875,11.9,1041,12.1,1049
"SULLIVAN, DANIEL","R","AKS1",4950,565,"$0",565,0,4950,222,"Senate","Alaska",396505,0,24.5,180,23.3,177
